Company,TypeName,Inches,Price_euros,Ram (GB),Weight (kg),HDD (GB),SSD (GB),Hybrid (GB),Flash Storage (GB),Total_Storage (GB),OpSys_Clean,Screen_Width,Screen_Height,Touchscreen,Cpu_Speed_GHz,Cpu_Brand,Cpu_Name,Gpu_Brand,Gpu_Name
Apple,Ultrabook,15.4,2858.0,16,1.83,0.0,512.0,0.0,0.0,512.0,MacOS,2880,1800,0,2.9,Intel,Core i7,AMD,Radeon Pro 560
Lenovo,Notebook,15.6,499.0,8,2.2,1024.0,0.0,0.0,0.0,1024.0,No OS,1920,1080,0,2.4,Intel,Core i3 7100U,Nvidia,GeForce 940MX
Dell,Ultrabook,13.3,979.0,8,1.22,0.0,128.0,0.0,0.0,128.0,Windows,1920,1080,1,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
Asus,Netbook,11.6,191.9,2,0.98,0.0,0.0,0.0,32.0,32.0,Windows,1366,768,0,1.44,Intel,Atom x5-Z8350,Intel,HD Graphics 400
Lenovo,Gaming,15.6,999.0,8,2.5,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,2.5,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
HP,Notebook,15.6,258.0,4,1.86,500.0,0.0,0.0,0.0,500.0,No OS,1366,768,0,1.5,AMD,E-Series E2-9000e,AMD,Radeon R2
Dell,2 in 1 Convertible,13.3,819.0,8,1.62,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,1,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
HP,Ultrabook,15.6,659.0,8,1.91,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,HD Graphics 620
Dell,Notebook,15.6,418.64,4,2.3,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 520
Apple,Ultrabook,13.3,1099.0,8,1.35,0.0,0.0,0.0,128.0,128.0,MacOS,1440,900,0,1.6,Intel,Core i5,Intel,HD Graphics 6000
Dell,Notebook,15.6,800.0,8,2.2,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,AMD,Radeon 530
Dell,Ultrabook,15.6,1298.0,8,1.88,0.0,512.0,0.0,0.0,512.0,Windows,1920,1080,0,1.9,Intel,Core i7 8650U,Intel,UHD Graphics 620
HP,Notebook,17.3,896.0,8,2.5,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Nvidia,GeForce 930MX
Chuwi,Notebook,15.6,244.99,4,1.89,0.0,0.0,0.0,64.0,64.0,Windows,1920,1080,0,1.44,Intel,Atom x5-Z8300,Intel,HD Graphics
Asus,Notebook,14.0,199.0,2,1.65,0.0,0.0,0.0,32.0,32.0,Windows,1366,768,0,1.5,AMD,E-Series E2-6110,AMD,Radeon R2
HP,Notebook,17.3,439.0,4,2.71,500.0,0.0,0.0,0.0,500.0,Windows,1920,1080,0,2.5,AMD,A6-Series 9220,AMD,Radeon 530
Dell,Ultrabook,13.3,1869.0,16,1.2,0.0,512.0,0.0,0.0,512.0,Windows,3200,1800,1,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
Apple,Ultrabook,13.3,998.0,8,1.35,0.0,0.0,0.0,256.0,256.0,MacOS,1440,900,0,1.6,Intel,Core i5,Intel,HD Graphics 6000
Lenovo,Notebook,14.0,249.0,4,1.44,0.0,0.0,0.0,64.0,64.0,Windows,1366,768,0,1.1,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
Acer,Notebook,15.6,367.0,4,2.1,1024.0,0.0,0.0,0.0,1024.0,Linux,1366,768,0,2.7,Intel,Core i3 7130U,Intel,HD Graphics 620
Dell,Notebook,17.3,979.0,8,2.8,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,AMD,Radeon 530
HP,Notebook,15.6,488.69,4,1.86,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
HP,Notebook,15.6,879.0,8,2.1,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Nvidia,GeForce 930MX
Asus,Notebook,15.6,389.0,4,2.0,1024.0,0.0,0.0,0.0,1024.0,Linux,1920,1080,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 620
Dell,Gaming,15.6,1499.0,16,2.65,1024.0,256.0,0.0,0.0,1280.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
Asus,Notebook,15.6,522.99,8,2.3,1024.0,0.0,0.0,0.0,1024.0,Linux,1366,768,0,2.5,Intel,Core i5 7200U,Nvidia,GeForce 940MX
Acer,Notebook,15.6,682.0,4,2.2,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
Dell,2 in 1 Convertible,17.3,999.0,12,2.77,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,1,1.6,Intel,Core i5 8250U,Nvidia,GeForce 150MX
Apple,Ultrabook,13.3,1419.0,8,1.37,0.0,256.0,0.0,0.0,256.0,MacOS,2560,1600,0,2.0,Intel,Core i5,Intel,Iris Graphics 540
Lenovo,Notebook,15.6,369.0,4,2.2,0.0,128.0,0.0,0.0,128.0,No OS,1366,768,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 520
Asus,Gaming,17.3,1299.0,8,3.2,1024.0,256.0,0.0,0.0,1280.0,Windows,1920,1080,0,3.0,AMD,Ryzen 1700,AMD,Radeon RX 580
Dell,Notebook,15.6,639.0,4,2.3,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.5,Intel,Core i5 7200U,AMD,Radeon R5 M430
Asus,Notebook,17.3,466.0,4,2.8,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,1.1,Intel,Pentium Quad Core N4200,Nvidia,GeForce 920MX
Lenovo,2 in 1 Convertible,10.1,319.0,4,0.69,0.0,0.0,0.0,64.0,64.0,Android,1920,1200,1,1.44,Intel,Atom x5-Z8550,Intel,HD Graphics 400
Acer,Notebook,15.6,841.0,8,2.2,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Nvidia,GeForce MX150
HP,Notebook,15.6,398.49,4,1.86,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.5,AMD,A6-Series 9220,AMD,Radeon R4 Graphics
HP,Notebook,13.3,1103.0,8,1.49,0.0,512.0,0.0,0.0,512.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
Acer,Notebook,15.6,384.0,4,2.4,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,2.4,Intel,Core i3 7100U,Intel,HD Graphics 620
Dell,Notebook,15.6,767.8,8,2.13,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,AMD,Radeon 520
HP,Notebook,15.6,439.0,4,1.91,0.0,128.0,0.0,0.0,128.0,Windows,1920,1080,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 520
Asus,Notebook,15.6,586.19,4,2.0,0.0,256.0,0.0,0.0,256.0,Windows,1366,768,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
MSI,Gaming,17.3,2449.0,16,2.43,2048.0,256.0,0.0,0.0,2304.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070
Asus,Notebook,15.6,415.0,4,2.0,0.0,256.0,0.0,0.0,256.0,Linux,1920,1080,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 520
Dell,Notebook,17.3,1299.0,16,2.8,2048.0,256.0,0.0,0.0,2304.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,AMD,Radeon 530
Dell,Ultrabook,14.0,879.0,8,1.7,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
Lenovo,Notebook,14.0,599.0,8,1.7,0.0,256.0,0.0,0.0,256.0,No OS,1920,1080,0,2.7,Intel,Core i3 7130U,Intel,HD Graphics 620
Asus,Notebook,14.0,941.0,8,1.4,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
HP,Notebook,15.6,690.0,8,1.86,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
Asus,Ultrabook,15.6,1983.0,16,1.8,0.0,512.0,0.0,0.0,512.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
HP,Notebook,15.6,438.69,4,1.86,500.0,0.0,0.0,0.0,500.0,Windows,1366,768,0,2.0,Intel,Core i3 6006U,AMD,Radeon 520
HP,Notebook,14.0,229.0,4,1.44,0.0,32.0,0.0,0.0,32.0,Windows,1366,768,0,1.6,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400
Lenovo,Notebook,15.6,549.0,4,1.9,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
Asus,Gaming,17.3,949.0,12,3.0,1024.0,0.0,0.0,0.0,1024.0,Linux,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
Microsoft,Ultrabook,13.5,1089.0,4,1.252,0.0,128.0,0.0,0.0,128.0,Windows,2256,1504,1,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
Dell,Ultrabook,13.3,955.0,8,1.4,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,AMD,Radeon 530
Dell,Notebook,15.6,870.0,8,2.2,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,AMD,Radeon 530
MSI,Gaming,17.3,1095.0,8,2.7,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,2.5,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
Acer,Notebook,14.0,389.0,8,2.1,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 520
Asus,Gaming,15.6,949.0,8,2.2,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
Lenovo,Notebook,15.6,519.0,8,2.2,2048.0,0.0,0.0,0.0,2048.0,No OS,1920,1080,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
Dell,Notebook,15.6,855.0,8,2.02,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
Acer,Notebook,15.6,530.0,4,2.2,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,2.7,Intel,Core i3 7130U,Nvidia,GeForce MX130
HP,Notebook,17.3,977.0,8,2.5,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Nvidia,GeForce 930MX
Dell,Ultrabook,15.6,1096.16,8,1.88,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
Apple,Ultrabook,12.0,1510.0,8,0.92,0.0,512.0,0.0,0.0,512.0,MacOS,2304,1440,0,1.3,Intel,Core i5,Intel,HD Graphics 615
HP,Notebook,14.0,860.0,8,1.63,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,HD Graphics 620
Lenovo,Notebook,15.6,399.0,4,2.2,0.0,128.0,0.0,0.0,128.0,Windows,1920,1080,0,2.5,AMD,A6-Series 9220,AMD,R4 Graphics
Acer,Notebook,15.6,395.0,4,2.1,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,3.0,AMD,A9-Series 9420,AMD,Radeon R5
Dell,Gaming,15.6,1349.0,16,2.65,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
HP,Ultrabook,15.6,699.0,8,1.83,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Nvidia,GeForce GTX 940MX
HP,Notebook,15.6,598.99,8,1.96,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
Asus,Gaming,15.6,1449.0,16,2.2,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
Dell,Ultrabook,13.3,1649.0,8,1.21,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
Asus,Gaming,15.6,699.0,8,2.45,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,3.0,AMD,FX 9830P,AMD,Radeon RX 560
Acer,Notebook,15.6,689.0,8,2.2,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Nvidia,GeForce MX150
HP,Notebook,13.3,1197.0,16,1.49,0.0,512.0,0.0,0.0,512.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
Dell,Gaming,15.6,1195.0,8,2.65,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.5,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1060
Asus,Ultrabook,14.0,1049.0,8,1.25,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.7,Intel,Core i7 7500U,Intel,HD Graphics 620
Acer,2 in 1 Convertible,13.3,847.0,8,1.5,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,1,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
Dell,Notebook,15.6,599.9,8,2.2,1024.0,0.0,0.0,0.0,1024.0,Linux,1920,1080,0,2.7,Intel,Core i7 7500U,AMD,Radeon R5 M430
Dell,Notebook,15.6,485.0,4,2.2,0.0,256.0,0.0,0.0,256.0,Linux,1920,1080,0,2.0,Intel,Core i3 6006U,AMD,Radeon R5 M430
Asus,Notebook,15.6,577.0,6,2.0,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.4,Intel,Core i3 7100U,Nvidia,GeForce 920M
HP,Gaming,15.6,1249.0,12,2.62,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
HP,Notebook,15.6,719.0,8,1.91,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.7,Intel,Core i7 7500U,AMD,Radeon 530
HP,Notebook,15.6,349.0,4,2.1,500.0,0.0,0.0,0.0,500.0,Windows,1920,1080,0,1.5,AMD,E-Series E2-9000e,AMD,Radeon R2
Dell,Notebook,15.6,647.0,8,2.2,1024.0,0.0,0.0,0.0,1024.0,Linux,1920,1080,0,1.6,Intel,Core i5 8250U,AMD,Radeon 520
HP,Ultrabook,13.3,1119.0,8,1.38,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.7,Intel,Core i7 7500U,Nvidia,GeForce MX150
Microsoft,Ultrabook,13.5,1340.0,8,1.252,0.0,256.0,0.0,0.0,256.0,Windows,2256,1504,1,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
HP,Notebook,14.0,659.0,6,1.58,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.5,Intel,Core i5 7200U,Nvidia,GeForce 940MX
Lenovo,Notebook,15.6,414.9,4,1.85,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 520
Asus,Ultrabook,14.0,1193.0,8,1.3,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.7,Intel,Core i7 7500U,Nvidia,GeForce 940MX
MSI,Gaming,15.6,1299.0,16,2.2,1024.0,256.0,0.0,0.0,1280.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
Lenovo,Notebook,14.0,1480.0,8,1.58,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.7,Intel,Core i7 7500U,Intel,HD Graphics 620
Asus,Ultrabook,15.6,1262.0,16,1.5,1024.0,256.0,0.0,0.0,1280.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Nvidia,GeForce MX150
Dell,Ultrabook,13.3,1379.0,8,1.23,0.0,256.0,0.0,0.0,256.0,Windows,3200,1800,1,2.4,Intel,Core i7 7560U,Intel,Iris Plus Graphics 640
Lenovo,2 in 1 Convertible,13.3,1399.0,8,1.37,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,1,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
HP,Notebook,14.0,722.0,4,1.63,500.0,0.0,0.0,0.0,500.0,Windows,1366,768,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
Dell,Ultrabook,13.3,1629.0,8,1.21,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
HP,2 in 1 Convertible,13.3,1398.99,8,1.26,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,1,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
HP,Notebook,14.0,1084.0,8,1.63,0.0,512.0,0.0,0.0,512.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
Dell,Notebook,15.6,1130.33,8,2.16,1024.0,256.0,0.0,0.0,1280.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Nvidia,GeForce 940MX
Asus,Notebook,17.3,564.0,4,2.0,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,2.0,Intel,Core i3 6006U,Nvidia,GeForce 920MX
Asus,Notebook,15.6,1118.0,8,1.7,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Nvidia,GeForce 940MX
Acer,Notebook,15.6,479.0,6,2.1,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,1,2.4,Intel,Core i3 7100U,Intel,HD Graphics 620
MSI,Gaming,15.6,2241.5,16,1.8,2048.0,256.0,0.0,0.0,2304.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070
Lenovo,Notebook,15.6,629.0,8,2.2,0.0,256.0,0.0,0.0,256.0,No OS,1920,1080,0,2.5,Intel,Core i5 7200U,Nvidia,GeForce 940MX
HP,Notebook,17.3,1271.0,16,2.5,0.0,512.0,0.0,0.0,512.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Nvidia,GeForce 930MX
Acer,Notebook,15.6,451.0,4,2.1,0.0,256.0,0.0,0.0,256.0,Windows,1366,768,0,3.0,AMD,A9-Series 9420,AMD,Radeon R5
HP,Notebook,15.6,259.0,4,1.86,500.0,0.0,0.0,0.0,500.0,No OS,1366,768,0,1.6,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400
HP,Notebook,14.0,812.0,8,1.63,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
Asus,Notebook,14.0,277.99,4,1.65,0.0,64.0,0.0,0.0,64.0,Windows,1366,768,0,1.5,AMD,E-Series 6110,AMD,Radeon R2
Dell,Notebook,17.3,1396.0,16,2.8,2048.0,256.0,0.0,0.0,2304.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,AMD,Radeon 530
HP,Notebook,17.3,928.0,8,2.5,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
Dell,Notebook,15.6,638.99,8,2.36,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,2.5,Intel,Core i5 7200U,AMD,Radeon R7 M445
Dell,Notebook,15.6,449.0,4,2.2,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,2.0,Intel,Core i3 6006U,AMD,Radeon R5 M430
Acer,Ultrabook,14.0,884.0,8,1.6,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
Acer,Notebook,15.6,572.0,4,2.2,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.7,Intel,Core i3 7130U,Nvidia,GeForce MX130
HP,Notebook,15.6,598.0,8,2.05,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,2.7,Intel,Core i7 7500U,Intel,HD Graphics 620
HP,Notebook,14.0,988.0,8,1.63,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
Lenovo,Notebook,15.6,252.36,4,1.9,1024.0,0.0,0.0,0.0,1024.0,No OS,1366,768,0,1.1,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
Asus,Gaming,17.3,938.0,8,3.0,1024.0,128.0,0.0,0.0,1152.0,Windows,1920,1080,0,2.5,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
Lenovo,Notebook,15.6,499.0,4,2.2,1024.0,0.0,0.0,0.0,1024.0,No OS,1920,1080,0,2.5,Intel,Core i5 7200U,Nvidia,GeForce 920MX
HP,Notebook,13.3,699.0,4,1.32,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
Acer,Notebook,17.3,655.0,4,3.0,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,2.7,Intel,Core i3 7130U,Nvidia,GeForce MX130
Lenovo,Notebook,14.0,1116.02,8,1.75,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,AMD,Radeon RX 550
Lenovo,Gaming,15.6,869.0,8,2.4,0.0,256.0,0.0,0.0,256.0,No OS,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050M
Toshiba,Notebook,15.6,602.0,4,2.1,500.0,0.0,0.0,0.0,500.0,Windows,1366,768,0,2.3,Intel,Core i5 6200U,Intel,HD Graphics 520
HP,Notebook,15.6,369.0,4,1.86,0.0,256.0,0.0,0.0,256.0,Windows,1366,768,0,2.5,AMD,A6-Series 9220,AMD,Radeon R4 Graphics
Asus,Ultrabook,14.0,1099.0,8,1.25,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Intel,UHD Graphics 620
HP,Ultrabook,12.5,2014.0,8,0.97,0.0,512.0,0.0,0.0,512.0,Windows,3840,2160,1,1.2,Intel,Core M 6Y75,Intel,HD Graphics 515
Asus,Notebook,15.6,344.0,4,2.0,1024.0,0.0,0.0,0.0,1024.0,Windows,1920,1080,0,1.1,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
MSI,Gaming,17.3,2029.0,16,2.9,1024.0,256.0,0.0,0.0,1280.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070
Acer,Notebook,15.6,447.0,4,2.1,1024.0,0.0,0.0,0.0,1024.0,Windows,1366,768,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 520
Dell,Gaming,15.6,1249.26,16,2.56,0.0,512.0,0.0,0.0,512.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
Dell,Gaming,15.6,899.0,8,2.62,0.0,0.0,1024.0,0.0,1024.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
Lenovo,Notebook,15.6,498.0,4,1.9,0.0,128.0,0.0,0.0,128.0,Windows,1366,768,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
MSI,Gaming,17.3,1890.0,16,2.8,1024.0,256.0,0.0,0.0,1280.0,Windows,1920,1080,0,2.8,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
HP,Ultrabook,14.0,1082.0,4,1.48,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.7,Intel,Core i5 7500U,Intel,HD Graphics 620
HP,Notebook,15.6,619.0,6,1.91,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,AMD,Radeon 520
